Number,Name,Type,Species,Height,Weight,Description,Abilities,Stats,Moves
44,Gloom,"Grass, Poison","Weed Pokémon","0.8m (2′07″)","8.6kg (19.0lbs)","The fluid that oozes from its mouth isn’t drool. It is a nectar that is used to attract prey.","Chlorophyll, Stench (hidden ability)","HP: 60; Attack: 65; Defense: 70; Sp. Atk: 85; Sp. Def: 75; Speed: 40; Total: 395","LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Acid, Type: Poison, Power: 40, Accuracy: 100; LVL: 1, Move: Growth, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Sweet Scent, Type: Normal, Power: —, Accuracy: 100; LVL: 12, Move: Mega Drain, Type: Grass, Power: 40, Accuracy: 100; LVL: 14, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 16, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 18, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 20, Move: Giga Drain, Type: Grass, Power: 75, Accuracy: 100; LVL: 26, Move: Toxic, Type: Poison, Power: —, Accuracy: 90; LVL: 32, Move: Moonblast, Type: Fairy, Power: 95, Accuracy: 100; LVL: 38, Move: Grassy Terrain, Type: Grass, Power: —, Accuracy: —; LVL: 44, Move: Moonlight, Type: Fairy, Power: —, Accuracy: —; LVL: 50, Move: Petal Dance, Type: Grass, Power: 120, Accuracy: 100; LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Acid, Type: Poison, Power: 40, Accuracy: 100; LVL: 1, Move: Growth, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Sweet Scent, Type: Normal, Power: —, Accuracy: 100; LVL: 12, Move: Mega Drain, Type: Grass, Power: 40, Accuracy: 100; LVL: 14, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 16, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 18, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 20, Move: Giga Drain, Type: Grass, Power: 75, Accuracy: 100; LVL: 26, Move: Toxic, Type: Poison, Power: —, Accuracy: 90; LVL: 32, Move: Moonblast, Type: Fairy, Power: 95, Accuracy: 100; LVL: 38, Move: Grassy Terrain, Type: Grass, Power: —, Accuracy: —; LVL: 44, Move: Moonlight, Type: Fairy, Power: —, Accuracy: —; LVL: 50, Move: Petal Dance, Type: Grass, Power: 120, Accuracy: 100"
45,Vileplume,"Grass, Poison","Flower Pokémon","1.2m (3′11″)","18.6kg (41.0lbs)","The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.","Chlorophyll, Effect Spore (hidden ability)","HP: 75; Attack: 80; Defense: 85; Sp. Atk: 110; Sp. Def: 90; Speed: 50; Total: 490","LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Acid, Type: Poison, Power: 40, Accuracy: 100; LVL: 1, Move: Giga Drain, Type: Grass, Power: 75, Accuracy: 100; LVL: 1, Move: Grassy Terrain, Type: Grass, Power: —, Accuracy: —; LVL: 1, Move: Growth, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Mega Drain, Type: Grass, Power: 40, Accuracy: 100; LVL: 1, Move: Moonblast, Type: Fairy, Power: 95, Accuracy: 100; LVL: 1, Move: Moonlight, Type: Fairy, Power: —, Accuracy: —; LVL: 1, Move: Petal Dance, Type: Grass, Power: 120, Accuracy: 100; LVL: 1, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 1, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 1, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 1, Move: Sweet Scent, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Toxic, Type: Poison, Power: —, Accuracy: 90; LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Acid, Type: Poison, Power: 40, Accuracy: 100; LVL: 1, Move: Aromatherapy, Type: Grass, Power: —, Accuracy: —; LVL: 1, Move: Giga Drain, Type: Grass, Power: 75, Accuracy: 100; LVL: 1, Move: Grassy Terrain, Type: Grass, Power: —, Accuracy: —; LVL: 1, Move: Growth, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Mega Drain, Type: Grass, Power: 40, Accuracy: 100; LVL: 1, Move: Moonblast, Type: Fairy, Power: 95, Accuracy: 100; LVL: 1, Move: Moonlight, Type: Fairy, Power: —, Accuracy: —; LVL: 1, Move: Petal Blizzard, Type: Grass, Power: 90, Accuracy: 100; LVL: 1, Move: Petal Dance, Type: Grass, Power: 120, Accuracy: 100; LVL: 1, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 1, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 1, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 1, Move: Sweet Scent, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Toxic, Type: Poison, Power: —, Accuracy: 90"
46,Paras,"Bug, Grass","Mushroom Pokémon","0.3m (1′00″)","5.4kg (11.9lbs)","Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.","Effect Spore, Dry Skin, Damp (hidden ability)","HP: 35; Attack: 70; Defense: 55; Sp. Atk: 45; Sp. Def: 55; Speed: 25; Total: 285","LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 6, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 6, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 11, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 17, Move: Fury Cutter, Type: Bug, Power: 40, Accuracy: 95; LVL: 22, Move: Spore, Type: Grass, Power: —, Accuracy: 100; LVL: 27, Move: Slash, Type: Normal, Power: 70, Accuracy: 100; LVL: 33, Move: Growth, Type: Normal, Power: —, Accuracy: —; LVL: 38, Move: Giga Drain, Type: Grass, Power: 75, Accuracy: 100; LVL: 43, Move: Aromatherapy, Type: Grass, Power: —, Accuracy: —; LVL: 49, Move: Rage Powder, Type: Bug, Power: —, Accuracy: —; LVL: 54, Move: X-Scissor, Type: Bug, Power: 80, Accuracy: 100; LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 5, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 9, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 15, Move: Venoshock, Type: Poison, Power: 65, Accuracy: 100; LVL: 21, Move: Slash, Type: Normal, Power: 70, Accuracy: 100; LVL: 29, Move: Spore, Type: Grass, Power: —, Accuracy: 100; LVL: 37, Move: X-Scissor, Type: Bug, Power: 80, Accuracy: 100; LVL: 47, Move: Energy Ball, Type: Grass, Power: 90, Accuracy: 100"
47,Parasect,"Bug, Grass","Mushroom Pokémon","1.0m (3′03″)","29.5kg (65.0lbs)","A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.","Effect Spore, Dry Skin, Damp (hidden ability)","HP: 60; Attack: 95; Defense: 80; Sp. Atk: 60; Sp. Def: 80; Speed: 30; Total: 405","LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Cross Poison, Type: Poison, Power: 70, Accuracy: 100; LVL: 1, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 6, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 6, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 11, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 17, Move: Fury Cutter, Type: Bug, Power: 40, Accuracy: 95; LVL: 22, Move: Spore, Type: Grass, Power: —, Accuracy: 100; LVL: 29, Move: Slash, Type: Normal, Power: 70, Accuracy: 100; LVL: 37, Move: Growth, Type: Normal, Power: —, Accuracy: —; LVL: 44, Move: Giga Drain, Type: Grass, Power: 75, Accuracy: 100; LVL: 51, Move: Aromatherapy, Type: Grass, Power: —, Accuracy: —; LVL: 59, Move: Rage Powder, Type: Bug, Power: —, Accuracy: —; LVL: 66, Move: X-Scissor, Type: Bug, Power: 80, Accuracy: 100; LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 5, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 9, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 15, Move: Venoshock, Type: Poison, Power: 65, Accuracy: 100; LVL: 21, Move: Slash, Type: Normal, Power: 70, Accuracy: 100; LVL: 29, Move: Spore, Type: Grass, Power: —, Accuracy: 100; LVL: 37, Move: X-Scissor, Type: Bug, Power: 80, Accuracy: 100; LVL: 47, Move: Energy Ball, Type: Grass, Power: 90, Accuracy: 100"
48,Venonat,"Bug, Poison","Insect Pokémon","1.0m (3′03″)","30.0kg (66.1lbs)","Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.","Compound Eyes, Tinted Lens, Run Away (hidden ability)","HP: 60; Attack: 55; Defense: 50; Sp. Atk: 40; Sp. Def: 55; Speed: 45; Total: 305","LVL: 1, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 5, Move: Supersonic, Type: Normal, Power: —, Accuracy: 55; LVL: 11, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 13, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 17, Move: Psybeam, Type: Psychic, Power: 65, Accuracy: 100; LVL: 23, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 25, Move: Bug Buzz, Type: Bug, Power: 90, Accuracy: 100; LVL: 29, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 35, Move: Leech Life, Type: Bug, Power: 80, Accuracy: 100; LVL: 37, Move: Zen Headbutt, Type: Psychic, Power: 80, Accuracy: 90; LVL: 41, Move: Poison Fang, Type: Poison, Power: 50, Accuracy: 100; LVL: 47, Move: Psychic, Type: Psychic, Power: 90, Accuracy: 100; LVL: 1, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Struggle Bug, Type: Bug, Power: 50, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 5, Move: Supersonic, Type: Normal, Power: —, Accuracy: 55; LVL: 11, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 13, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 17, Move: Psybeam, Type: Psychic, Power: 65, Accuracy: 100; LVL: 23, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 25, Move: Mega Drain, Type: Grass, Power: 40, Accuracy: 100; LVL: 29, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 35, Move: Leech Life, Type: Bug, Power: 80, Accuracy: 100; LVL: 37, Move: Zen Headbutt, Type: Psychic, Power: 80, Accuracy: 90; LVL: 41, Move: Poison Fang, Type: Poison, Power: 50, Accuracy: 100; LVL: 47, Move: Psychic, Type: Psychic, Power: 90, Accuracy: 100"
49,Venomoth,"Bug, Poison","Poison Moth Pokémon","1.5m (4′11″)","12.5kg (27.6lbs)","The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.","Shield Dust, Tinted Lens, Wonder Skin (hidden ability)","HP: 70; Attack: 65; Defense: 60; Sp. Atk: 90; Sp. Def: 75; Speed: 90; Total: 450","LVL: 1, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Quiver Dance, Type: Bug, Power: —, Accuracy: —; LVL: 1, Move: Supersonic, Type: Normal, Power: —, Accuracy: 55; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 11, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 13, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 17, Move: Psybeam, Type: Psychic, Power: 65, Accuracy: 100; LVL: 23, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 25, Move: Bug Buzz, Type: Bug, Power: 90, Accuracy: 100; LVL: 29, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 37, Move: Leech Life, Type: Bug, Power: 80, Accuracy: 100; LVL: 41, Move: Zen Headbutt, Type: Psychic, Power: 80, Accuracy: 90; LVL: 47, Move: Poison Fang, Type: Poison, Power: 50, Accuracy: 100; LVL: 55, Move: Psychic, Type: Psychic, Power: 90, Accuracy: 100; LVL: 1, Move: Bug Buzz, Type: Bug, Power: 90, Accuracy: 100; LVL: 1, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 1, Move: Quiver Dance, Type: Bug, Power: —, Accuracy: —; LVL: 1, Move: Struggle Bug, Type: Bug, Power: 50, Accuracy: 100; LVL: 1, Move: Supersonic, Type: Normal, Power: —, Accuracy: 55; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Whirlwind, Type: Normal, Power: —, Accuracy: —; LVL: 5, Move: Supersonic, Type: Normal, Power: —, Accuracy: 55; LVL: 11, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 13, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 17, Move: Psybeam, Type: Psychic, Power: 65, Accuracy: 100; LVL: 23, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 25, Move: Mega Drain, Type: Grass, Power: 40, Accuracy: 100; LVL: 29, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 37, Move: Leech Life, Type: Bug, Power: 80, Accuracy: 100; LVL: 41, Move: Zen Headbutt, Type: Psychic, Power: 80, Accuracy: 90; LVL: 47, Move: Poison Fang, Type: Poison, Power: 50, Accuracy: 100; LVL: 55, Move: Psychic, Type: Psychic, Power: 90, Accuracy: 100; LVL: 59, Move: Bug Buzz, Type: Bug, Power: 90, Accuracy: 100; LVL: 63, Move: Quiver Dance, Type: Bug, Power: —, Accuracy: —"
50,Diglett,"Ground","Mole Pokémon","0.2m (0′08″)","0.8kg (1.8lbs)","Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.","Sand Veil, Arena Trap, Sand Force (hidden ability)","HP: 10; Attack: 55; Defense: 25; Sp. Atk: 35; Sp. Def: 45; Speed: 95; Total: 265","LVL: 1, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 4, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 8, Move: Astonish, Type: Ghost, Power: 30, Accuracy: 100; LVL: 12, Move: Mud-Slap, Type: Ground, Power: 20, Accuracy: 100; LVL: 16, Move: Bulldoze, Type: Ground, Power: 60, Accuracy: 100; LVL: 20, Move: Sucker Punch, Type: Dark, Power: 70, Accuracy: 100; LVL: 24, Move: Slash, Type: Normal, Power: 70, Accuracy: 100; LVL: 28, Move: Sandstorm, Type: Rock, Power: —, Accuracy: —; LVL: 32, Move: Dig, Type: Ground, Power: 80, Accuracy: 100; LVL: 36, Move: Earth Power, Type: Ground, Power: 90, Accuracy: 100; LVL: 40, Move: Earthquake, Type: Ground, Power: 100, Accuracy: 100; LVL: 44, Move: Fissure, Type: Ground, Power: —, Accuracy: 30"
51,Dugtrio,"Ground","Mole Pokémon","0.7m (2′04″)","33.3kg (73.4lbs)","A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.","Sand Veil, Arena Trap, Sand Force (hidden ability)","HP: 35; Attack: 100; Defense: 50; Sp. Atk: 50; Sp. Def: 70; Speed: 120; Total: 425","LVL: 1, Move: Astonish, Type: Ghost, Power: 30, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Night Slash, Type: Dark, Power: 70, Accuracy: 100; LVL: 1, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 1, Move: Sand Tomb, Type: Ground, Power: 35, Accuracy: 85; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tri Attack, Type: Normal, Power: 80, Accuracy: 100; LVL: 12, Move: Mud-Slap, Type: Ground, Power: 20, Accuracy: 100; LVL: 16, Move: Bulldoze, Type: Ground, Power: 60, Accuracy: 100; LVL: 20, Move: Sucker Punch, Type: Dark, Power: 70, Accuracy: 100; LVL: 24, Move: Slash, Type: Normal, Power: 70, Accuracy: 100; LVL: 30, Move: Sandstorm, Type: Rock, Power: —, Accuracy: —; LVL: 36, Move: Dig, Type: Ground, Power: 80, Accuracy: 100; LVL: 42, Move: Earth Power, Type: Ground, Power: 90, Accuracy: 100; LVL: 48, Move: Earthquake, Type: Ground, Power: 100, Accuracy: 100; LVL: 54, Move: Fissure, Type: Ground, Power: —, Accuracy: 30"
52,Meowth,"Normal","Scratch Cat Pokémon","0.4m (1′04″)","4.2kg (9.3lbs)","Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.","Pickup, Technician, Unnerve (hidden ability)","HP: 40; Attack: 45; Defense: 35; Sp. Atk: 40; Sp. Def: 40; Speed: 90; Total: 290","LVL: 1, Move: Fake Out, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 4, Move: Feint, Type: Normal, Power: 30, Accuracy: 100; LVL: 8, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 12, Move: Pay Day, Type: Normal, Power: 40, Accuracy: 100; LVL: 16, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 20, Move: Taunt, Type: Dark, Power: —, Accuracy: 100; LVL: 24, Move: Assurance, Type: Dark, Power: 60, Accuracy: 100; LVL: 29, Move: Fury Swipes, Type: Normal, Power: 18, Accuracy: 80; LVL: 32, Move: Screech, Type: Normal, Power: —, Accuracy: 85; LVL: 36, Move: Slash, Type: Normal, Power: 70, Accuracy: 100; LVL: 40, Move: Nasty Plot, Type: Dark, Power: —, Accuracy: —; LVL: 44, Move: Play Rough, Type: Fairy, Power: 90, Accuracy: 90"
53,Persian,"Normal","Classy Cat Pokémon","1.0m (3′03″)","32.0kg (70.5lbs)","Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.","Limber, Technician, Unnerve (hidden ability)","HP: 65; Attack: 70; Defense: 60; Sp. Atk: 65; Sp. Def: 65; Speed: 115; Total: 440","LVL: 1, Move: Fake Out, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Feint, Type: Normal, Power: 30, Accuracy: 100; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Power Gem, Type: Rock, Power: 80, Accuracy: 100; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Switcheroo, Type: Dark, Power: —, Accuracy: 100; LVL: 12, Move: Pay Day, Type: Normal, Power: 40, Accuracy: 100; LVL: 16, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 20, Move: Taunt, Type: Dark, Power: —, Accuracy: 100; LVL: 24, Move: Assurance, Type: Dark, Power: 60, Accuracy: 100; LVL: 31, Move: Fury Swipes, Type: Normal, Power: 18, Accuracy: 80; LVL: 36, Move: Screech, Type: Normal, Power: —, Accuracy: 85; LVL: 42, Move: Slash, Type: Normal, Power: 70, Accuracy: 100; LVL: 48, Move: Nasty Plot, Type: Dark, Power: —, Accuracy: —; LVL: 54, Move: Play Rough, Type: Fairy, Power: 90, Accuracy: 90"
54,Psyduck,"Water","Duck Pokémon","0.8m (2′07″)","19.6kg (43.2lbs)","While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.","Damp, Cloud Nine, Swift Swim (hidden ability)","HP: 50; Attack: 52; Defense: 48; Sp. Atk: 65; Sp. Def: 50; Speed: 55; Total: 320","LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 3, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 6, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 9, Move: Fury Swipes, Type: Normal, Power: 18, Accuracy: 80; LVL: 12, Move: Water Pulse, Type: Water, Power: 60, Accuracy: 100; LVL: 15, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 18, Move: Zen Headbutt, Type: Psychic, Power: 80, Accuracy: 90; LVL: 21, Move: Screech, Type: Normal, Power: —, Accuracy: 85; LVL: 24, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 27, Move: Soak, Type: Water, Power: —, Accuracy: 100; LVL: 30, Move: Psych Up, Type: Normal, Power: —, Accuracy: —; LVL: 34, Move: Amnesia, Type: Psychic, Power: —, Accuracy: —; LVL: 39, Move: Wonder Room, Type: Psychic, Power: —, Accuracy: —; LVL: 1, Move: Bubble, Type: Water, Power: 40, Accuracy: 100; LVL: 6, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 11, Move: Water Pulse, Type: Water, Power: 60, Accuracy: 100; LVL: 18, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 25, Move: Zen Headbutt, Type: Psychic, Power: 80, Accuracy: 90; LVL: 34, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 43, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80"
55,Golduck,"Water","Duck Pokémon","1.7m (5′07″)","76.6kg (168.9lbs)","Often seen swimming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.","Damp, Cloud Nine, Swift Swim (hidden ability)","HP: 80; Attack: 82; Defense: 78; Sp. Atk: 95; Sp. Def: 80; Speed: 85; Total: 500","LVL: 1, Move: Aqua Jet, Type: Water, Power: 40, Accuracy: 100; LVL: 1, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Water Gun, Type: Water, Power: 40, Accuracy: 100; LVL: 9, Move: Fury Swipes, Type: Normal, Power: 18, Accuracy: 80; LVL: 12, Move: Water Pulse, Type: Water, Power: 60, Accuracy: 100; LVL: 15, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 18, Move: Zen Headbutt, Type: Psychic, Power: 80, Accuracy: 90; LVL: 21, Move: Screech, Type: Normal, Power: —, Accuracy: 85; LVL: 24, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 27, Move: Soak, Type: Water, Power: —, Accuracy: 100; LVL: 30, Move: Psych Up, Type: Normal, Power: —, Accuracy: —; LVL: 36, Move: Amnesia, Type: Psychic, Power: —, Accuracy: —; LVL: 40, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80; LVL: 45, Move: Wonder Room, Type: Psychic, Power: —, Accuracy: —; LVL: 1, Move: Bubble, Type: Water, Power: 40, Accuracy: 100; LVL: 6, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 11, Move: Water Pulse, Type: Water, Power: 60, Accuracy: 100; LVL: 18, Move: Hypnosis, Type: Psychic, Power: —, Accuracy: 60; LVL: 25, Move: Zen Headbutt, Type: Psychic, Power: 80, Accuracy: 90; LVL: 34, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 43, Move: Hydro Pump, Type: Water, Power: 110, Accuracy: 80"
56,Mankey,"Fighting","Pig Monkey Pokémon","0.5m (1′08″)","28.0kg (61.7lbs)","Extremely quick to anger. It could be docile one moment then thrashing away the next instant.","Vital Spirit, Anger Point, Defiant (hidden ability)","HP: 40; Attack: 80; Defense: 35; Sp. Atk: 35; Sp. Def: 45; Speed: 70; Total: 305","LVL: 1, Move: Covet, Type: Normal, Power: 60, Accuracy: 100; LVL: 1, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 5, Move: Fury Swipes, Type: Normal, Power: 18, Accuracy: 80; LVL: 8, Move: Low Kick, Type: Fighting, Power: —, Accuracy: 100; LVL: 12, Move: Seismic Toss, Type: Fighting, Power: —, Accuracy: 100; LVL: 17, Move: Swagger, Type: Normal, Power: —, Accuracy: 85; LVL: 22, Move: Cross Chop, Type: Fighting, Power: 100, Accuracy: 80; LVL: 26, Move: Assurance, Type: Dark, Power: 60, Accuracy: 100; LVL: 29, Move: Thrash, Type: Normal, Power: 120, Accuracy: 100; LVL: 33, Move: Close Combat, Type: Fighting, Power: 120, Accuracy: 100; LVL: 36, Move: Screech, Type: Normal, Power: —, Accuracy: 85; LVL: 40, Move: Stomping Tantrum, Type: Ground, Power: 75, Accuracy: 100; LVL: 44, Move: Outrage, Type: Dragon, Power: 120, Accuracy: 100; LVL: 48, Move: Final Gambit, Type: Fighting, Power: —, Accuracy: 100; LVL: 1, Move: Covet, Type: Normal, Power: 60, Accuracy: 100; LVL: 1, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Low Kick, Type: Fighting, Power: —, Accuracy: 100; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 5, Move: Fury Swipes, Type: Normal, Power: 18, Accuracy: 80; LVL: 8, Move: Mud-Slap, Type: Ground, Power: 20, Accuracy: 100; LVL: 12, Move: Seismic Toss, Type: Fighting, Power: —, Accuracy: 100; LVL: 15, Move: Retaliate, Type: Normal, Power: 70, Accuracy: 100; LVL: 19, Move: Swagger, Type: Normal, Power: —, Accuracy: 85; LVL: 22, Move: Cross Chop, Type: Fighting, Power: 100, Accuracy: 80; LVL: 26, Move: Assurance, Type: Dark, Power: 60, Accuracy: 100; LVL: 29, Move: Skull Bash, Type: Normal, Power: 130, Accuracy: 100; LVL: 33, Move: Thrash, Type: Normal, Power: 120, Accuracy: 100; LVL: 36, Move: Close Combat, Type: Fighting, Power: 120, Accuracy: 100; LVL: 40, Move: Screech, Type: Normal, Power: —, Accuracy: 85; LVL: 43, Move: Stomping Tantrum, Type: Ground, Power: 75, Accuracy: 100; LVL: 47, Move: Outrage, Type: Dragon, Power: 120, Accuracy: 100; LVL: 50, Move: Final Gambit, Type: Fighting, Power: —, Accuracy: 100"
